geoid,SPORDER,PWGTP,AGEP,DDRS,DEAR,DEYE,DOUT,DPHY,DRAT,DREM,JWMNP,JWTR,RELP,SCHL,SEX,WKHP,WKW,DIS,ESR,RELP_label,SCHL_label,SEX_label,ESR_label,WKW_label,JWTR_label,WKHP_label,JWMNP_label,DIS_label,DEAR_label,DEYE_label,DREM_label,DPHY_label,DOUT_label,DDRS_label,DRAT_label,person_age_group,decision_capable,decision_policy,synthetic_household_id,resident_id
14000US06089010100,1,23,52,2.0,2,2,2.0,1.0,,2.0,,,0,19.0,1,,,1,6.0,Reference person,"1 or more years of college credit, no degree",Male,Not in labor force,,,,,With a disability,No,No,No,Yes,No,No,,35_64,True,generative,syn_t001_h0000006,syn_t001_h0000006_r001
14000US06089010100,2,17,17,2.0,2,2,2.0,2.0,,2.0,,,2,13.0,1,,,2,6.0,Biological son or daughter,Grade 10,Male,Not in labor force,,,,,Without a disability,No,No,No,No,No,No,,0_17,False,dependent,syn_t001_h0000006,syn_t001_h0000006_r002
14000US06089010100,3,17,15,2.0,2,2,2.0,2.0,,2.0,,,2,12.0,2,,,2,,Biological son or daughter,Grade 9,Female,,,,,,Without a disability,No,No,No,No,No,No,,0_17,False,dependent,syn_t001_h0000006,syn_t001_h0000006_r003
14000US06089010100,1,40,40,2.0,2,2,2.0,2.0,,2.0,30.0,12.0,0,9.0,2,12.0,1.0,2,1.0,Reference person,Grade 6,Female,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,Other method,,,Without a disability,No,No,No,No,No,No,,35_64,True,generative,syn_t001_h0000007,syn_t001_h0000007_r001
14000US06089010100,2,38,15,2.0,2,2,2.0,2.0,,2.0,,,2,12.0,2,,,2,,Biological son or daughter,Grade 9,Female,,,,,,Without a disability,No,No,No,No,No,No,,0_17,False,dependent,syn_t001_h0000007,syn_t001_h0000007_r002
14000US06089010100,3,40,40,2.0,2,2,2.0,2.0,,2.0,5.0,12.0,13,16.0,1,40.0,1.0,2,1.0,Unmarried partner,Regular high school diploma,Male,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,Other method,,,Without a disability,No,No,No,No,No,No,,35_64,True,generative,syn_t001_h0000007,syn_t001_h0000007_r003
14000US06089010100,1,10,88,2.0,1,2,1.0,1.0,,2.0,,,0,14.0,2,,,1,6.0,Reference person,Grade 11,Female,Not in labor force,,,,,With a disability,Yes,No,No,Yes,Yes,No,,65_plus,True,generative,syn_t001_h0000008,syn_t001_h0000008_r001
14000US06089010100,1,13,72,2.0,2,2,2.0,2.0,,2.0,,,0,17.0,1,,,2,6.0,Reference person,GED or alternative credential,Male,Not in labor force,,,,,Without a disability,No,No,No,No,No,No,,65_plus,True,generative,syn_t001_h0000009,syn_t001_h0000009_r001
14000US06089010100,1,20,64,2.0,2,2,1.0,1.0,,1.0,,,0,10.0,1,,,1,6.0,Reference person,Grade 7,Male,Not in labor force,,,,,With a disability,No,No,Yes,Yes,Yes,No,,35_64,True,generative,syn_t001_h0000010,syn_t001_h0000010_r001
14000US06089010200,1,71,27,2.0,2,2,1.0,2.0,,1.0,,,0,19.0,1,40.0,6.0,1,3.0,Reference person,"1 or more years of college credit, no degree",Male,Unemployed,less than 14 weeks worked during past 12 months,,,,With a disability,No,No,Yes,No,Yes,No,,18_34,True,generative,syn_t002_h0000001,syn_t002_h0000001_r001
14000US06089010200,1,21,68,2.0,2,2,2.0,2.0,,2.0,,,0,21.0,1,,,2,6.0,Reference person,Bachelor's degree,Male,Not in labor force,,,,,Without a disability,No,No,No,No,No,No,,65_plus,True,generative,syn_t002_h0000002,syn_t002_h0000002_r001
14000US06089010200,1,14,66,2.0,2,2,1.0,2.0,,1.0,,,0,22.0,1,,,1,6.0,Reference person,Master's degree,Male,Not in labor force,,,,,With a disability,No,No,Yes,No,Yes,No,,65_plus,True,generative,syn_t002_h0000003,syn_t002_h0000003_r001
14000US06089010200,1,14,75,1.0,2,2,1.0,1.0,,2.0,,,0,22.0,1,,,1,6.0,Reference person,Master's degree,Male,Not in labor force,,,,,With a disability,No,No,No,Yes,Yes,Yes,,65_plus,True,generative,syn_t002_h0000004,syn_t002_h0000004_r001
14000US06089010200,1,37,46,2.0,2,2,2.0,2.0,,2.0,5.0,1.0,0,19.0,1,60.0,1.0,2,1.0,Reference person,"1 or more years of college credit, no degree",Male,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,35_64,True,generative,syn_t002_h0000005,syn_t002_h0000005_r001
14000US06089010200,1,11,45,2.0,2,2,2.0,2.0,,2.0,10.0,1.0,0,19.0,1,40.0,1.0,2,1.0,Reference person,"1 or more years of college credit, no degree",Male,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,35_64,True,generative,syn_t002_h0000006,syn_t002_h0000006_r001
14000US06089010200,2,13,7,2.0,2,2,,2.0,,2.0,,,2,4.0,1,,,2,,Biological son or daughter,Grade 1,Male,,,,,,Without a disability,No,No,No,No,,No,,0_17,False,dependent,syn_t002_h0000006,syn_t002_h0000006_r002
14000US06089010200,3,15,1,,2,2,,,,,,,15,,2,,,2,,Other nonrelative,,Female,,,,,,Without a disability,No,No,,,,,,0_17,False,dependent,syn_t002_h0000006,syn_t002_h0000006_r003
14000US06089010200,1,14,71,2.0,2,2,2.0,2.0,,2.0,,,0,17.0,1,,,2,6.0,Reference person,GED or alternative credential,Male,Not in labor force,,,,,Without a disability,No,No,No,No,No,No,,65_plus,True,generative,syn_t002_h0000007,syn_t002_h0000007_r001
14000US06089010200,1,62,28,2.0,2,2,2.0,2.0,,2.0,5.0,1.0,0,19.0,2,40.0,1.0,2,1.0,Reference person,"1 or more years of college credit, no degree",Female,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,18_34,True,generative,syn_t002_h0000008,syn_t002_h0000008_r001
14000US06089010200,2,70,7,2.0,2,2,,2.0,,2.0,,,2,4.0,2,,,2,,Biological son or daughter,Grade 1,Female,,,,,,Without a disability,No,No,No,No,,No,,0_17,False,dependent,syn_t002_h0000008,syn_t002_h0000008_r002
14000US06089010200,3,63,2,,2,2,,,,,,,2,,1,,,2,,Biological son or daughter,,Male,,,,,,Without a disability,No,No,,,,,,0_17,False,dependent,syn_t002_h0000008,syn_t002_h0000008_r003
14000US06089010200,1,44,26,2.0,2,2,2.0,2.0,,2.0,,,0,16.0,1,12.0,5.0,2,3.0,Reference person,Regular high school diploma,Male,Unemployed,14 to 26 weeks worked during past 12 months,,,,Without a disability,No,No,No,No,No,No,,18_34,True,generative,syn_t002_h0000009,syn_t002_h0000009_r001
14000US06089010200,2,28,21,2.0,2,2,2.0,2.0,,2.0,,,13,16.0,2,,,2,6.0,Unmarried partner,Regular high school diploma,Female,Not in labor force,,,,,Without a disability,No,No,No,No,No,No,,18_34,True,generative,syn_t002_h0000009,syn_t002_h0000009_r002
14000US06089010200,1,10,19,2.0,2,2,2.0,2.0,,2.0,,,0,18.0,2,40.0,1.0,2,2.0,Reference person,"Some college, but less than 1 year",Female,"Civilian employed, with a job but not at work",50 to 52 weeks worked during past 12 months,,,,Without a disability,No,No,No,No,No,No,,18_34,True,generative,syn_t002_h0000010,syn_t002_h0000010_r001
14000US06089010200,2,10,19,2.0,2,2,2.0,2.0,,2.0,10.0,1.0,12,19.0,2,20.0,4.0,2,1.0,Housemate or roommate,"1 or more years of college credit, no degree",Female,"Civilian employed, at work",27 to 39 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,18_34,True,generative,syn_t002_h0000010,syn_t002_h0000010_r002
14000US06089010200,1,57,50,2.0,2,2,2.0,2.0,,2.0,,,0,16.0,1,,,2,6.0,Reference person,Regular high school diploma,Male,Not in labor force,,,,,Without a disability,No,No,No,No,No,No,,35_64,True,generative,syn_t002_h0000011,syn_t002_h0000011_r001
14000US06089010200,2,77,15,2.0,2,2,2.0,2.0,,2.0,,,2,12.0,2,,,2,,Biological son or daughter,Grade 9,Female,,,,,,Without a disability,No,No,No,No,No,No,,0_17,False,dependent,syn_t002_h0000011,syn_t002_h0000011_r002
14000US06089010200,1,36,43,2.0,2,2,2.0,2.0,,2.0,20.0,1.0,0,19.0,1,50.0,1.0,2,1.0,Reference person,"1 or more years of college credit, no degree",Male,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,35_64,True,generative,syn_t002_h0000012,syn_t002_h0000012_r001
14000US06089010200,1,30,34,2.0,2,2,1.0,2.0,,1.0,,,0,13.0,2,,,1,6.0,Reference person,Grade 10,Female,Not in labor force,,,,,With a disability,No,No,Yes,No,Yes,No,,18_34,True,generative,syn_t002_h0000013,syn_t002_h0000013_r001
14000US06089010200,2,29,12,2.0,2,2,,2.0,,2.0,,,2,8.0,2,,,2,,Biological son or daughter,Grade 5,Female,,,,,,Without a disability,No,No,No,No,,No,,0_17,False,dependent,syn_t002_h0000013,syn_t002_h0000013_r002
14000US06089010200,3,30,34,2.0,2,2,2.0,2.0,,2.0,,,5,13.0,1,,,2,6.0,Brother or sister,Grade 10,Male,Not in labor force,,,,,Without a disability,No,No,No,No,No,No,,18_34,True,generative,syn_t002_h0000013,syn_t002_h0000013_r003
14000US06089010200,1,19,67,1.0,2,1,1.0,1.0,,2.0,,,0,18.0,2,,,1,6.0,Reference person,"Some college, but less than 1 year",Female,Not in labor force,,,,,With a disability,No,Yes,No,Yes,Yes,Yes,,65_plus,True,generative,syn_t002_h0000014,syn_t002_h0000014_r001
14000US06089010200,2,21,60,2.0,2,2,2.0,2.0,,2.0,,11.0,15,16.0,1,28.0,1.0,2,1.0,Other nonrelative,Regular high school diploma,Male,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,Worked at home,,,Without a disability,No,No,No,No,No,No,,35_64,True,generative,syn_t002_h0000014,syn_t002_h0000014_r002
14000US06089010200,1,45,94,2.0,1,2,1.0,1.0,,1.0,,,0,16.0,2,,,1,6.0,Reference person,Regular high school diploma,Female,Not in labor force,,,,,With a disability,Yes,No,Yes,Yes,Yes,No,,65_plus,True,generative,syn_t002_h0000015,syn_t002_h0000015_r001
14000US06089010200,1,13,69,2.0,2,1,2.0,2.0,,2.0,2.0,1.0,0,19.0,2,50.0,3.0,1,1.0,Reference person,"1 or more years of college credit, no degree",Female,"Civilian employed, at work",40 to 47 weeks worked during past 12 months,"Car, truck, or van",,,With a disability,No,Yes,No,No,No,No,,65_plus,True,generative,syn_t002_h0000016,syn_t002_h0000016_r001
14000US06089010300,1,18,66,2.0,2,2,2.0,2.0,,2.0,16.0,1.0,0,20.0,1,35.0,3.0,2,1.0,Reference person,Associate's degree,Male,"Civilian employed, at work",40 to 47 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,65_plus,True,generative,syn_t003_h0000001,syn_t003_h0000001_r001
14000US06089010300,2,16,55,2.0,2,2,2.0,2.0,,2.0,,,13,16.0,2,,,2,6.0,Unmarried partner,Regular high school diploma,Female,Not in labor force,,,,,Without a disability,No,No,No,No,No,No,,35_64,True,generative,syn_t003_h0000001,syn_t003_h0000001_r002
14000US06089010300,1,28,33,2.0,2,2,2.0,2.0,,2.0,,,0,20.0,1,,,2,6.0,Reference person,Associate's degree,Male,Not in labor force,,,,,Without a disability,No,No,No,No,No,No,,18_34,True,generative,syn_t003_h0000002,syn_t003_h0000002_r001
14000US06089010300,1,21,49,2.0,2,2,2.0,2.0,,2.0,15.0,1.0,0,21.0,2,40.0,1.0,2,1.0,Reference person,Bachelor's degree,Female,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,35_64,True,generative,syn_t003_h0000003,syn_t003_h0000003_r001
14000US06089010300,2,25,12,2.0,2,2,,2.0,,2.0,,,2,9.0,2,,,2,,Biological son or daughter,Grade 6,Female,,,,,,Without a disability,No,No,No,No,,No,,0_17,False,dependent,syn_t003_h0000003,syn_t003_h0000003_r002
14000US06089010300,1,13,43,2.0,2,2,2.0,2.0,,2.0,10.0,1.0,0,21.0,2,40.0,1.0,2,1.0,Reference person,Bachelor's degree,Female,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,35_64,True,generative,syn_t003_h0000004,syn_t003_h0000004_r001
14000US06089010300,2,15,23,2.0,2,2,2.0,2.0,,2.0,,,2,16.0,2,,,2,6.0,Biological son or daughter,Regular high school diploma,Female,Not in labor force,,,,,Without a disability,No,No,No,No,No,No,,18_34,True,generative,syn_t003_h0000004,syn_t003_h0000004_r002
14000US06089010300,3,15,3,,2,2,,,,,,,7,1.0,1,,,2,,Grandchild,No schooling completed,Male,,,,,,Without a disability,No,No,,,,,,0_17,False,dependent,syn_t003_h0000004,syn_t003_h0000004_r003
14000US06089010300,4,11,25,2.0,2,2,2.0,2.0,,2.0,5.0,1.0,9,16.0,1,25.0,6.0,2,1.0,Son-in-law or daughter-in-law,Regular high school diploma,Male,"Civilian employed, at work",less than 14 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,18_34,True,generative,syn_t003_h0000004,syn_t003_h0000004_r004
14000US06089010300,1,14,81,2.0,2,2,2.0,2.0,,2.0,15.0,1.0,0,16.0,1,20.0,1.0,2,1.0,Reference person,Regular high school diploma,Male,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,65_plus,True,generative,syn_t003_h0000005,syn_t003_h0000005_r001
14000US06089010300,1,70,38,2.0,2,2,2.0,2.0,,2.0,10.0,1.0,0,16.0,1,40.0,1.0,2,1.0,Reference person,Regular high school diploma,Male,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,35_64,True,generative,syn_t003_h0000006,syn_t003_h0000006_r001
14000US06089010300,1,13,64,2.0,2,2,2.0,2.0,,2.0,60.0,1.0,0,20.0,1,40.0,1.0,2,1.0,Reference person,Associate's degree,Male,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,35_64,True,generative,syn_t003_h0000007,syn_t003_h0000007_r001
14000US06089010300,1,48,40,2.0,2,2,2.0,2.0,,2.0,10.0,1.0,0,16.0,2,40.0,1.0,2,1.0,Reference person,Regular high school diploma,Female,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,35_64,True,generative,syn_t003_h0000008,syn_t003_h0000008_r001
14000US06089010300,2,58,9,2.0,2,2,,2.0,,2.0,,,5,5.0,1,,,2,,Brother or sister,Grade 2,Male,,,,,,Without a disability,No,No,No,No,,No,,0_17,False,dependent,syn_t003_h0000008,syn_t003_h0000008_r002
14000US06089010300,3,50,24,2.0,2,2,2.0,2.0,,2.0,,,12,19.0,1,,,2,6.0,Housemate or roommate,"1 or more years of college credit, no degree",Male,Not in labor force,,,,,Without a disability,No,No,No,No,No,No,,18_34,True,generative,syn_t003_h0000008,syn_t003_h0000008_r003
14000US06089010300,1,19,64,2.0,2,2,2.0,2.0,,2.0,,11.0,0,22.0,1,20.0,2.0,2,1.0,Reference person,Master's degree,Male,"Civilian employed, at work",48 to 49 weeks worked during past 12 months,Worked at home,,,Without a disability,No,No,No,No,No,No,,35_64,True,generative,syn_t003_h0000009,syn_t003_h0000009_r001
14000US06089010300,2,14,65,2.0,2,2,1.0,2.0,,2.0,,,1,21.0,2,,,1,6.0,Husband/wife,Bachelor's degree,Female,Not in labor force,,,,,With a disability,No,No,No,No,Yes,No,,65_plus,True,generative,syn_t003_h0000009,syn_t003_h0000009_r002
14000US06089010300,3,15,35,2.0,2,2,2.0,2.0,,2.0,3.0,10.0,2,20.0,2,20.0,3.0,2,1.0,Biological son or daughter,Associate's degree,Female,"Civilian employed, at work",40 to 47 weeks worked during past 12 months,Walked,,,Without a disability,No,No,No,No,No,No,,35_64,True,generative,syn_t003_h0000009,syn_t003_h0000009_r003
14000US06089010300,4,15,26,2.0,2,2,2.0,2.0,,2.0,12.0,1.0,9,19.0,1,40.0,6.0,2,1.0,Son-in-law or daughter-in-law,"1 or more years of college credit, no degree",Male,"Civilian employed, at work",less than 14 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,18_34,True,generative,syn_t003_h0000009,syn_t003_h0000009_r004
14000US06089010300,1,14,45,2.0,2,2,2.0,2.0,,2.0,15.0,1.0,0,16.0,2,40.0,1.0,2,1.0,Reference person,Regular high school diploma,Female,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,35_64,True,generative,syn_t003_h0000010,syn_t003_h0000010_r001
14000US06089010300,2,14,14,2.0,2,2,,2.0,,2.0,,,2,11.0,1,,,2,,Biological son or daughter,Grade 8,Male,,,,,,Without a disability,No,No,No,No,,No,,0_17,False,dependent,syn_t003_h0000010,syn_t003_h0000010_r002
14000US06089010300,1,9,50,2.0,2,2,2.0,2.0,,2.0,,,0,19.0,1,,,2,6.0,Reference person,"1 or more years of college credit, no degree",Male,Not in labor force,,,,,Without a disability,No,No,No,No,No,No,,35_64,True,generative,syn_t003_h0000011,syn_t003_h0000011_r001
14000US06089010300,1,43,78,2.0,1,1,2.0,1.0,,2.0,,11.0,0,19.0,1,70.0,1.0,1,1.0,Reference person,"1 or more years of college credit, no degree",Male,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,Worked at home,,,With a disability,Yes,Yes,No,Yes,No,No,,65_plus,True,generative,syn_t003_h0000012,syn_t003_h0000012_r001
14000US06089010300,1,59,57,2.0,2,2,2.0,2.0,,2.0,15.0,1.0,0,16.0,1,40.0,1.0,2,1.0,Reference person,Regular high school diploma,Male,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,35_64,True,generative,syn_t003_h0000013,syn_t003_h0000013_r001
14000US06089010300,1,25,45,2.0,2,2,2.0,2.0,,2.0,,,0,19.0,2,,,2,6.0,Reference person,"1 or more years of college credit, no degree",Female,Not in labor force,,,,,Without a disability,No,No,No,No,No,No,,35_64,True,generative,syn_t003_h0000014,syn_t003_h0000014_r001
14000US06089010300,2,35,25,2.0,2,2,2.0,2.0,,2.0,10.0,1.0,2,19.0,1,60.0,1.0,2,1.0,Biological son or daughter,"1 or more years of college credit, no degree",Male,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,18_34,True,generative,syn_t003_h0000014,syn_t003_h0000014_r002
14000US06089010300,3,48,22,2.0,2,2,2.0,2.0,,2.0,5.0,1.0,2,20.0,2,40.0,1.0,2,1.0,Biological son or daughter,Associate's degree,Female,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,18_34,True,generative,syn_t003_h0000014,syn_t003_h0000014_r003
14000US06089010300,1,18,42,2.0,2,2,2.0,2.0,,2.0,,,0,19.0,1,,,2,6.0,Reference person,"1 or more years of college credit, no degree",Male,Not in labor force,,,,,Without a disability,No,No,No,No,No,No,,35_64,True,generative,syn_t003_h0000015,syn_t003_h0000015_r001
14000US06089010300,1,41,28,2.0,2,2,2.0,1.0,,2.0,,,0,16.0,1,,,1,6.0,Reference person,Regular high school diploma,Male,Not in labor force,,,,,With a disability,No,No,No,Yes,No,No,,18_34,True,generative,syn_t003_h0000016,syn_t003_h0000016_r001
14000US06089010300,2,45,26,2.0,2,2,2.0,2.0,,2.0,,,5,19.0,1,40.0,5.0,2,6.0,Brother or sister,"1 or more years of college credit, no degree",Male,Not in labor force,14 to 26 weeks worked during past 12 months,,,,Without a disability,No,No,No,No,No,No,,18_34,True,generative,syn_t003_h0000016,syn_t003_h0000016_r002
14000US06089010300,3,47,29,2.0,2,2,2.0,2.0,,2.0,5.0,1.0,13,16.0,2,36.0,1.0,2,1.0,Unmarried partner,Regular high school diploma,Female,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,18_34,True,generative,syn_t003_h0000016,syn_t003_h0000016_r003
14000US06089010300,1,13,69,2.0,2,2,2.0,2.0,,2.0,,,0,19.0,2,,,2,6.0,Reference person,"1 or more years of college credit, no degree",Female,Not in labor force,,,,,Without a disability,No,No,No,No,No,No,,65_plus,True,generative,syn_t003_h0000017,syn_t003_h0000017_r001
14000US06089010300,1,28,49,2.0,2,2,2.0,2.0,,2.0,15.0,1.0,0,19.0,2,10.0,6.0,2,1.0,Reference person,"1 or more years of college credit, no degree",Female,"Civilian employed, at work",less than 14 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,35_64,True,generative,syn_t003_h0000018,syn_t003_h0000018_r001
14000US06089010300,2,30,15,2.0,2,2,2.0,2.0,,2.0,,,2,12.0,1,,,2,,Biological son or daughter,Grade 9,Male,,,,,,Without a disability,No,No,No,No,No,No,,0_17,False,dependent,syn_t003_h0000018,syn_t003_h0000018_r002
14000US06089010300,1,14,64,1.0,2,2,2.0,1.0,5.0,2.0,,,0,19.0,1,,,1,6.0,Reference person,"1 or more years of college credit, no degree",Male,Not in labor force,,,,,With a disability,No,No,No,Yes,No,Yes,"70, 80, 90, or 100 percent",35_64,True,generative,syn_t003_h0000019,syn_t003_h0000019_r001
14000US06089010300,2,16,66,2.0,2,2,2.0,2.0,,2.0,,,1,16.0,2,,,2,6.0,Husband/wife,Regular high school diploma,Female,Not in labor force,,,,,Without a disability,No,No,No,No,No,No,,65_plus,True,generative,syn_t003_h0000019,syn_t003_h0000019_r002
14000US06089010300,1,21,27,2.0,2,2,2.0,2.0,,2.0,20.0,1.0,0,20.0,2,40.0,1.0,2,1.0,Reference person,Associate's degree,Female,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,18_34,True,generative,syn_t003_h0000020,syn_t003_h0000020_r001
14000US06089010300,2,21,28,2.0,2,2,2.0,2.0,,2.0,7.0,1.0,1,20.0,1,56.0,1.0,2,1.0,Husband/wife,Associate's degree,Male,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,18_34,True,generative,syn_t003_h0000020,syn_t003_h0000020_r002
14000US06089010300,3,21,0,,2,2,,,,,,,2,,1,,,2,,Biological son or daughter,,Male,,,,,,Without a disability,No,No,,,,,,0_17,False,dependent,syn_t003_h0000020,syn_t003_h0000020_r003
14000US06089010300,1,18,64,2.0,1,2,2.0,2.0,,2.0,19.0,1.0,0,19.0,1,25.0,1.0,1,1.0,Reference person,"1 or more years of college credit, no degree",Male,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,"Car, truck, or van",,,With a disability,Yes,No,No,No,No,No,,35_64,True,generative,syn_t003_h0000021,syn_t003_h0000021_r001
14000US06089010300,1,45,94,2.0,1,2,1.0,1.0,,1.0,,,0,16.0,2,,,1,6.0,Reference person,Regular high school diploma,Female,Not in labor force,,,,,With a disability,Yes,No,Yes,Yes,Yes,No,,65_plus,True,generative,syn_t003_h0000022,syn_t003_h0000022_r001
14000US06089010400,1,30,45,2.0,2,2,2.0,2.0,,2.0,7.0,1.0,0,22.0,1,40.0,1.0,2,1.0,Reference person,Master's degree,Male,"Civilian employed, at work",50 to 52 weeks worked during past 12 months,"Car, truck, or van",,,Without a disability,No,No,No,No,No,No,,35_64,True,generative,syn_t004_h0000001,syn_t004_h0000001_r001
14000US06089010400,2,30,12,2.0,2,2,,2.0,,2.0,,,2,10.0,1,,,2,,Biological son or daughter,Grade 7,Male,,,,,,Without a disability,No,No,No,No,,No,,0_17,False,dependent,syn_t004_h0000001,syn_t004_h0000001_r002
