geoid,PUMA,ADJINC,WGTP,NP,TYPE,ACCESS,BDSP,BLD,HISPEED,RMSP,SMARTPHONE,TEN,VEH,HHT,HINCP,HUPAC,HUPAOC,HUPARC,NOC,NRC,WIF,HINCP_ADJUSTED_2018,negative_income,TEN_label,BLD_label,ACCESS_label,HISPEED_label,SMARTPHONE_label,HUPAC_label,HUPAOC_label,HUPARC_label,WIF_label,household_income,vehicle_count,household_structure,household_older_adult_presence,weight,household_size,synthetic_household_id
14000US06089010200,8900,1070673,13,1,1,1,3.0,2,1.0,6.0,1,1,1.0,6.0,67000.0,4,4,4,0.0,0.0,,71735.091,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,,60000_74999,1,nonfamily_not_living_alone,has_65_plus,13.0,1,syn_t002_h0000016
14000US06089010300,8900,1061242,18,2,1,3,3.0,2,,8.0,2,3,2.0,5.0,26000.0,4,4,4,0.0,0.0,,27592.292,False,Rented,One-family house detached,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,,25000_29999,2,nonfamily_living_alone,has_65_plus,18.0,2,syn_t003_h0000001
14000US06089010300,8900,1070673,28,1,1,3,1.0,6,,3.0,2,3,1.0,4.0,12000.0,4,4,4,0.0,0.0,,12848.076,False,Rented,5-9 Apartments,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,,10000_14999,1,nonfamily_living_alone,no_65_plus,28.0,1,syn_t003_h0000002
14000US06089010300,8900,1070673,21,2,1,1,4.0,2,1.0,9.0,1,1,1.0,3.0,66500.0,2,2,2,1.0,1.0,1.0,71199.7545,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,1 worker,60000_74999,1,other_female_householder,no_65_plus,21.0,2,syn_t003_h0000003
14000US06089010300,8900,1035838,12,4,1,1,3.0,2,1.0,6.0,1,1,2.0,3.0,88300.0,1,4,1,0.0,1.0,2.0,91464.4954,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children under 6 years only,No own children present,Presence of related children under 6 years only,2 workers,75000_99999,2,other_female_householder,no_65_plus,12.0,4,syn_t003_h0000004
14000US06089010300,8900,1070673,13,1,1,3,1.0,2,,4.0,2,2,1.0,4.0,34900.0,4,4,4,0.0,0.0,,37366.4877,False,Owned free and clear,One-family house detached,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,,35000_39999,1,nonfamily_living_alone,has_65_plus,13.0,1,syn_t003_h0000005
14000US06089010300,8900,1054346,70,1,1,1,3.0,2,1.0,6.0,1,3,1.0,4.0,10000.0,4,4,4,0.0,0.0,,10543.46,False,Rented,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,,10000_14999,1,nonfamily_living_alone,no_65_plus,70.0,1,syn_t003_h0000006
14000US06089010300,8900,1035838,13,1,1,1,3.0,2,2.0,4.0,2,2,3.0,4.0,75000.0,4,4,4,0.0,0.0,,77687.85,False,Owned free and clear,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",No,No,No children,No own children present,No related children present,,75000_99999,3,nonfamily_living_alone,no_65_plus,13.0,1,syn_t003_h0000007
14000US06089010300,8900,1070673,48,3,1,1,3.0,2,1.0,6.0,1,3,2.0,3.0,30000.0,2,4,2,0.0,1.0,1.0,32120.19,False,Rented,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children 6 to 17 years only,No own children present,Presence of related children 6 to 17 years only,1 worker,30000_34999,2,other_female_householder,no_65_plus,48.0,3,syn_t003_h0000008
14000US06089010300,8900,1035838,19,4,1,1,3.0,2,1.0,6.0,1,3,3.0,1.0,71100.0,4,4,4,0.0,0.0,3.0,73648.0818,False,Rented,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,3 or more workers in family,60000_74999,3,married_couple,has_65_plus,19.0,4,syn_t003_h0000009
14000US06089010300,8900,1054346,13,2,1,1,2.0,5,1.0,6.0,1,3,1.0,3.0,65000.0,2,2,2,1.0,1.0,1.0,68532.49,False,Rented,3-4 Apartments,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,1 worker,60000_74999,1,other_female_householder,no_65_plus,13.0,2,syn_t003_h0000010
14000US06089010300,8900,1070673,9,1,1,3,2.0,2,,5.0,2,2,1.0,4.0,9000.0,4,4,4,0.0,0.0,,9636.057,False,Owned free and clear,One-family house detached,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,,lt_10000,1,nonfamily_living_alone,no_65_plus,9.0,1,syn_t003_h0000011
14000US06089010300,8900,1035838,44,1,1,3,1.0,1,,3.0,2,2,2.0,4.0,126900.0,4,4,4,0.0,0.0,,131447.8422,False,Owned free and clear,Mobile home or trailer,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,,125000_149999,2,nonfamily_living_alone,has_65_plus,44.0,1,syn_t003_h0000012
14000US06089010300,8900,1054346,59,1,1,1,4.0,2,1.0,8.0,2,2,2.0,4.0,45000.0,4,4,4,0.0,0.0,,47445.57,False,Owned free and clear,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,No,No children,No own children present,No related children present,,45000_49999,2,nonfamily_living_alone,no_65_plus,59.0,1,syn_t003_h0000013
14000US06089010300,8900,1070673,25,3,1,1,3.0,2,2.0,4.0,1,2,1.0,3.0,50000.0,4,4,4,0.0,0.0,2.0,53533.65,False,Owned free and clear,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",No,Yes,No children,No own children present,No related children present,2 workers,50000_59999,1,other_female_householder,no_65_plus,25.0,3,syn_t003_h0000014
14000US06089010300,8900,1061242,19,1,1,3,0.0,10,,1.0,2,3,1.0,4.0,10600.0,4,4,4,0.0,0.0,,11249.1652,False,Rented,"Boat, RV, van, etc.","No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,,10000_14999,1,nonfamily_living_alone,no_65_plus,19.0,1,syn_t003_h0000015
14000US06089010300,8900,1013097,41,3,1,1,2.0,2,1.0,5.0,1,3,2.0,2.0,32900.0,4,4,4,0.0,0.0,1.0,33330.8913,False,Rented,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,1 worker,30000_34999,2,other_male_householder,no_65_plus,41.0,3,syn_t003_h0000016
14000US06089010300,8900,1070673,13,1,1,1,2.0,4,1.0,4.0,2,3,1.0,6.0,11400.0,4,4,4,0.0,0.0,,12205.6722,False,Rented,2 Apartments,"Yes, by paying a cell phone company or Internet service provider",Yes,No,No children,No own children present,No related children present,,10000_14999,1,nonfamily_not_living_alone,has_65_plus,13.0,1,syn_t003_h0000017
14000US06089010300,8900,1070673,28,2,1,1,2.0,1,1.0,5.0,1,3,1.0,3.0,810.0,2,2,2,1.0,1.0,1.0,867.24513,False,Rented,Mobile home or trailer,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,1 worker,lt_10000,1,other_female_householder,no_65_plus,28.0,2,syn_t003_h0000018
14000US06089010300,8900,1061242,13,2,1,1,3.0,2,1.0,8.0,2,1,3.0,1.0,63404.0,4,4,4,0.0,0.0,0.0,67286.987768,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,No,No children,No own children present,No related children present,No workers,60000_74999,3,married_couple,has_65_plus,13.0,2,syn_t003_h0000019
14000US06089010300,8900,1035838,21,3,1,1,3.0,2,1.0,5.0,1,1,2.0,1.0,90000.0,1,1,1,1.0,1.0,2.0,93225.42,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children under 6 years only,Presence of own children under 6 years only,Presence of related children under 6 years only,2 workers,75000_99999,2,married_couple,no_65_plus,21.0,3,syn_t003_h0000020
14000US06089010300,8900,1061242,18,1,1,1,2.0,1,1.0,5.0,1,3,2.0,4.0,24900.0,4,4,4,0.0,0.0,,26424.9258,False,Rented,Mobile home or trailer,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,,25000_29999,2,nonfamily_living_alone,no_65_plus,18.0,1,syn_t003_h0000021
14000US06089010300,8900,1035838,45,1,1,3,0.0,9,,1.0,2,3,0.0,6.0,14400.0,4,4,4,0.0,0.0,,14916.0672,False,Rented,50 or more apartments,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,,10000_14999,0,nonfamily_not_living_alone,has_65_plus,45.0,1,syn_t003_h0000022
14000US06089010400,8900,1013097,30,3,1,1,3.0,2,1.0,6.0,1,1,1.0,2.0,115000.0,2,2,2,2.0,2.0,1.0,116506.155,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,1 worker,100000_124999,1,other_male_householder,no_65_plus,30.0,3,syn_t004_h0000001
14000US06089010400,8900,1054346,14,3,1,1,2.0,4,1.0,4.0,1,3,1.0,3.0,20000.0,1,1,1,2.0,2.0,1.0,21086.92,False,Rented,2 Apartments,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children under 6 years only,Presence of own children under 6 years only,Presence of related children under 6 years only,1 worker,20000_24999,1,other_female_householder,no_65_plus,14.0,3,syn_t004_h0000002
14000US06089010400,8900,1054346,21,2,1,1,0.0,2,1.0,2.0,1,2,0.0,5.0,10000.0,4,4,4,0.0,0.0,,10543.46,False,Owned free and clear,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,,10000_14999,0,nonfamily_living_alone,no_65_plus,21.0,2,syn_t004_h0000003
14000US06089010400,8900,1070673,9,4,1,1,3.0,2,1.0,7.0,1,1,3.0,1.0,90000.0,1,1,1,2.0,2.0,1.0,96360.57,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children under 6 years only,Presence of own children under 6 years only,Presence of related children under 6 years only,1 worker,75000_99999,3,married_couple,no_65_plus,9.0,4,syn_t004_h0000004
14000US06089010400,8900,1070673,58,1,1,3,2.0,4,,4.0,2,3,1.0,6.0,19900.0,4,4,4,0.0,0.0,,21306.3927,False,Rented,2 Apartments,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,,20000_24999,1,nonfamily_not_living_alone,has_65_plus,58.0,1,syn_t004_h0000005
14000US06089010400,8900,1035838,25,3,1,1,1.0,8,2.0,3.0,1,3,2.0,1.0,38000.0,1,1,1,1.0,1.0,2.0,39361.844,False,Rented,20-49 Apartments,"Yes, by paying a cell phone company or Internet service provider",No,Yes,With children under 6 years only,Presence of own children under 6 years only,Presence of related children under 6 years only,2 workers,35000_39999,2,married_couple,no_65_plus,25.0,3,syn_t004_h0000006
14000US06089010400,8900,1070673,62,2,1,2,1.0,1,,2.0,1,3,1.0,1.0,26500.0,4,4,4,0.0,0.0,1.0,28372.8345,False,Rented,Mobile home or trailer,"Yes, without paying a cell phone company or Internet service provider",,Yes,No children,No own children present,No related children present,1 worker,25000_29999,1,married_couple,no_65_plus,62.0,2,syn_t004_h0000007
14000US06089010400,8900,1061242,44,2,1,1,2.0,6,1.0,4.0,1,4,2.0,2.0,32700.0,2,2,2,1.0,1.0,1.0,34702.6134,False,Occupied without payment of rent,5-9 Apartments,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,1 worker,30000_34999,2,other_male_householder,no_65_plus,44.0,2,syn_t004_h0000008
14000US06089010400,8900,1013097,36,2,1,1,2.0,9,1.0,3.0,1,3,2.0,3.0,118000.0,4,4,4,0.0,0.0,2.0,119545.446,False,Rented,50 or more apartments,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,2 workers,100000_124999,2,other_female_householder,no_65_plus,36.0,2,syn_t004_h0000009
14000US06089010400,8900,1070673,24,4,1,1,4.0,5,1.0,5.0,1,3,1.0,3.0,10700.0,2,2,2,3.0,3.0,0.0,11456.2011,False,Rented,3-4 Apartments,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,No workers,10000_14999,1,other_female_householder,no_65_plus,24.0,4,syn_t004_h0000010
14000US06089010400,8900,1035838,59,2,1,1,3.0,2,2.0,5.0,1,1,2.0,5.0,119000.0,4,4,4,0.0,0.0,,123264.722,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",No,Yes,No children,No own children present,No related children present,,100000_124999,2,nonfamily_living_alone,no_65_plus,59.0,2,syn_t004_h0000011
14000US06089010400,8900,1035838,13,1,1,3,0.0,2,,1.0,2,3,1.0,4.0,9600.0,4,4,4,0.0,0.0,,9944.0448,False,Rented,One-family house detached,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,,lt_10000,1,nonfamily_living_alone,no_65_plus,13.0,1,syn_t004_h0000012
14000US06089010400,8900,1054346,15,5,1,1,4.0,2,1.0,7.0,1,1,4.0,1.0,98000.0,2,2,2,3.0,3.0,2.0,103325.908,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,2 workers,100000_124999,4_plus,married_couple,no_65_plus,15.0,5,syn_t004_h0000013
14000US06089010400,8900,1035838,87,3,1,1,2.0,6,1.0,4.0,1,3,1.0,3.0,38400.0,1,1,1,1.0,1.0,1.0,39776.1792,False,Rented,5-9 Apartments,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children under 6 years only,Presence of own children under 6 years only,Presence of related children under 6 years only,1 worker,35000_39999,1,other_female_householder,no_65_plus,87.0,3,syn_t004_h0000014
14000US06089010400,8900,1054346,11,2,1,1,2.0,6,2.0,6.0,1,3,1.0,3.0,32700.0,4,4,4,0.0,0.0,1.0,34477.1142,False,Rented,5-9 Apartments,"Yes, by paying a cell phone company or Internet service provider",No,Yes,No children,No own children present,No related children present,1 worker,30000_34999,1,other_female_householder,has_65_plus,11.0,2,syn_t004_h0000015
14000US06089010400,8900,1070673,3,2,1,3,3.0,2,,6.0,1,1,2.0,5.0,80540.0,4,4,4,0.0,0.0,,86232.00342,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"No access to the Internet at this house, apartment, or mobile home",,Yes,No children,No own children present,No related children present,,75000_99999,2,nonfamily_living_alone,no_65_plus,3.0,2,syn_t004_h0000016
14000US06089010400,8900,1070673,57,2,1,1,2.0,5,2.0,3.0,1,3,0.0,2.0,20000.0,2,2,2,1.0,1.0,0.0,21413.46,False,Rented,3-4 Apartments,"Yes, by paying a cell phone company or Internet service provider",No,Yes,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,No workers,20000_24999,0,other_male_householder,no_65_plus,57.0,2,syn_t004_h0000017
14000US06089010400,8900,1054346,20,1,1,1,1.0,4,1.0,2.0,2,3,1.0,4.0,14000.0,4,4,4,0.0,0.0,,14760.844,False,Rented,2 Apartments,"Yes, by paying a cell phone company or Internet service provider",Yes,No,No children,No own children present,No related children present,,10000_14999,1,nonfamily_living_alone,no_65_plus,20.0,1,syn_t004_h0000018
14000US06089010400,8900,1054346,13,1,1,1,3.0,2,1.0,5.0,1,1,2.0,4.0,31200.0,4,4,4,0.0,0.0,,32895.5952,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,,30000_34999,2,nonfamily_living_alone,has_65_plus,13.0,1,syn_t004_h0000019
14000US06089010400,8900,1035838,13,2,1,2,2.0,9,,5.0,1,3,1.0,3.0,550.0,1,1,1,1.0,1.0,0.0,569.7109,False,Rented,50 or more apartments,"Yes, without paying a cell phone company or Internet service provider",,Yes,With children under 6 years only,Presence of own children under 6 years only,Presence of related children under 6 years only,No workers,lt_10000,1,other_female_householder,no_65_plus,13.0,2,syn_t004_h0000020
14000US06089010400,8900,1070673,39,6,1,1,4.0,2,1.0,6.0,1,1,3.0,1.0,93800.0,3,3,3,3.0,3.0,3.0,100429.1274,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children under 6 years and 6 to 17 years,Presence of own children under 6 years and 6 to 17 years,Presence of related children under 6 years and 6 to 17 years,3 or more workers in family,100000_124999,3,married_couple,no_65_plus,39.0,6,syn_t004_h0000021
14000US06089010400,8900,1061242,13,1,1,3,2.0,2,,5.0,2,1,1.0,4.0,49000.0,4,4,4,0.0,0.0,,52000.858,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,,50000_59999,1,nonfamily_living_alone,no_65_plus,13.0,1,syn_t004_h0000022
14000US06089010400,8900,1061242,12,2,1,1,3.0,2,1.0,6.0,1,2,3.0,1.0,41900.0,4,4,4,0.0,0.0,1.0,44466.0398,False,Owned free and clear,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,1 worker,40000_44999,3,married_couple,no_65_plus,12.0,2,syn_t004_h0000023
