donor_id,PUMA,ADJINC,WGTP,NP,TYPE,ACCESS,BDSP,BLD,HISPEED,RMSP,SMARTPHONE,TEN,VEH,HHT,HINCP,HUPAC,HUPAOC,HUPARC,NOC,NRC,WIF,HINCP_ADJUSTED_2018,negative_income,TEN_label,BLD_label,ACCESS_label,HISPEED_label,SMARTPHONE_label,HUPAC_label,HUPAOC_label,HUPARC_label,WIF_label,household_income,vehicle_count,household_structure,household_older_adult_presence,weight,household_size
donor_h0000011,08900,1070673,34,4,1,2,3.0,05,,5.0,1,3,1.0,3.0,25200.0,2,2,2,3.0,3.0,1,26980.9596,False,Rented,3-4 Apartments,"Yes, without paying a cell phone company or Internet service provider",,Yes,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,1 worker,25000_29999,1,other_female_householder,no_65_plus,34.0,4
donor_h0000012,08900,1070673,31,3,1,1,3.0,02,1,6.0,1,1,2.0,1.0,65000.0,2,2,2,1.0,1.0,2,69593.745,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,2 workers,60000_74999,2,married_couple,no_65_plus,31.0,3
donor_h0000013,08900,1070673,13,2,1,1,2.0,01,1,6.0,1,3,1.0,3.0,12000.0,2,4,2,0.0,1.0,1,12848.076,False,Rented,Mobile home or trailer,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children 6 to 17 years only,No own children present,Presence of related children 6 to 17 years only,1 worker,10000_14999,1,other_female_householder,no_65_plus,13.0,2
donor_h0000014,08900,1070673,6,4,1,1,3.0,02,1,5.0,1,3,2.0,1.0,72540.0,2,2,2,2.0,2.0,2,77666.61942,False,Rented,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,2 workers,75000_99999,2,married_couple,no_65_plus,6.0,4
donor_h0000015,08900,1070673,14,5,1,1,2.0,01,1,4.0,2,2,3.0,1.0,32400.0,1,1,1,2.0,2.0,1,34689.8052,False,Owned free and clear,Mobile home or trailer,"Yes, by paying a cell phone company or Internet service provider",Yes,No,With children under 6 years only,Presence of own children under 6 years only,Presence of related children under 6 years only,1 worker,30000_34999,3,married_couple,has_65_plus,14.0,5
donor_h0000016,08900,1070673,20,3,1,1,4.0,02,1,11.0,1,1,3.0,1.0,189200.0,4,4,4,0.0,0.0,3,202571.3316,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,3 or more workers in family,200000_plus,3,married_couple,no_65_plus,20.0,3
donor_h0000017,08900,1070673,13,2,1,1,3.0,02,1,5.0,1,3,1.0,2.0,56000.0,2,2,2,1.0,1.0,1,59957.688,False,Rented,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,1 worker,50000_59999,1,other_male_householder,no_65_plus,13.0,2
donor_h0000018,08900,1070673,13,2,1,1,3.0,02,1,6.0,1,2,3.0,1.0,61270.0,4,4,4,0.0,0.0,2,65600.13471,False,Owned free and clear,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,2 workers,60000_74999,3,married_couple,has_65_plus,13.0,2
donor_h0000019,08900,1070673,25,3,1,1,3.0,02,2,4.0,1,2,1.0,3.0,50000.0,4,4,4,0.0,0.0,2,53533.65,False,Owned free and clear,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",No,Yes,No children,No own children present,No related children present,2 workers,50000_59999,1,other_female_householder,no_65_plus,25.0,3
donor_h0000020,08900,1070673,11,3,1,1,3.0,02,1,6.0,2,1,3.0,3.0,34500.0,4,4,4,0.0,0.0,3,36938.2185,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,No,No children,No own children present,No related children present,3 or more workers in family,35000_39999,3,other_female_householder,no_65_plus,11.0,3
donor_h0000021,08900,1070673,12,1,1,3,1.0,02,,3.0,2,4,1.0,4.0,30.0,4,4,4,0.0,0.0,,32.12019,False,Occupied without payment of rent,One-family house detached,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,,lt_10000,1,nonfamily_living_alone,no_65_plus,12.0,1
donor_h0000022,08900,1070673,7,1,1,1,2.0,02,1,5.0,1,2,1.0,6.0,19300.0,4,4,4,0.0,0.0,,20663.9889,False,Owned free and clear,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,,20000_24999,1,nonfamily_not_living_alone,has_65_plus,7.0,1
donor_h0000023,08900,1070673,22,1,1,3,3.0,02,,5.0,2,1,1.0,6.0,1304.0,4,4,4,0.0,0.0,,1396.157592,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,,lt_10000,1,nonfamily_not_living_alone,has_65_plus,22.0,1
donor_h0000024,08900,1070673,14,2,1,2,3.0,02,,5.0,1,1,3.0,1.0,99000.0,4,4,4,0.0,0.0,2,105996.627,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, without paying a cell phone company or Internet service provider",,Yes,No children,No own children present,No related children present,2 workers,100000_124999,3,married_couple,no_65_plus,14.0,2
donor_h0000025,08900,1070673,6,2,1,1,2.0,01,1,4.0,1,2,3.0,1.0,28200.0,4,4,4,0.0,0.0,0,30192.9786,False,Owned free and clear,Mobile home or trailer,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,No workers,30000_34999,3,married_couple,has_65_plus,6.0,2
donor_h0000026,08900,1070673,20,2,1,1,3.0,02,1,7.0,2,1,2.0,1.0,126200.0,4,4,4,0.0,0.0,1,135118.9326,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,No,No children,No own children present,No related children present,1 worker,125000_149999,2,married_couple,has_65_plus,20.0,2
donor_h0000027,08900,1070673,14,1,1,1,2.0,03,1,5.0,1,3,1.0,4.0,18000.0,4,4,4,0.0,0.0,,19272.114,False,Rented,One-family house attached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,,15000_19999,1,nonfamily_living_alone,no_65_plus,14.0,1
donor_h0000028,08900,1070673,33,2,1,1,2.0,02,1,5.0,2,1,2.0,1.0,43600.0,4,4,4,0.0,0.0,1,46681.3428,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,No,No children,No own children present,No related children present,1 worker,45000_49999,2,married_couple,has_65_plus,33.0,2
donor_h0000029,08900,1070673,19,1,1,1,2.0,05,2,5.0,1,3,1.0,4.0,20000.0,4,4,4,0.0,0.0,,21413.46,False,Rented,3-4 Apartments,"Yes, by paying a cell phone company or Internet service provider",No,Yes,No children,No own children present,No related children present,,20000_24999,1,nonfamily_living_alone,no_65_plus,19.0,1
donor_h0000030,08900,1070673,13,2,1,1,3.0,02,1,5.0,1,2,2.0,1.0,67080.0,4,4,4,0.0,0.0,0,71820.74484,False,Owned free and clear,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,No workers,60000_74999,2,married_couple,has_65_plus,13.0,2
donor_h0000031,08900,1070673,3,2,1,3,4.0,02,,8.0,2,2,1.0,1.0,17600.0,4,4,4,0.0,0.0,0,18843.8448,False,Owned free and clear,One-family house detached,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,No workers,15000_19999,1,married_couple,no_65_plus,3.0,2
donor_h0000032,08900,1070673,18,2,1,1,3.0,02,1,6.0,1,3,2.0,5.0,134700.0,4,4,4,0.0,0.0,,144219.6531,False,Rented,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,,125000_149999,2,nonfamily_living_alone,no_65_plus,18.0,2
donor_h0000033,08900,1070673,13,1,1,1,2.0,02,2,4.0,1,1,0.0,4.0,465500.0,4,4,4,0.0,0.0,,498398.2815,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",No,Yes,No children,No own children present,No related children present,,200000_plus,0,nonfamily_living_alone,no_65_plus,13.0,1
donor_h0000034,08900,1070673,7,2,1,3,2.0,01,,5.0,2,2,2.0,1.0,67300.0,4,4,4,0.0,0.0,0,72056.2929,False,Owned free and clear,Mobile home or trailer,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,No workers,60000_74999,2,married_couple,has_65_plus,7.0,2
donor_h0000035,08900,1070673,9,1,1,1,4.0,02,1,7.0,2,1,1.0,6.0,79600.0,4,4,4,0.0,0.0,,85225.5708,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,No,No children,No own children present,No related children present,,75000_99999,1,nonfamily_not_living_alone,has_65_plus,9.0,1
donor_h0000036,08900,1070673,14,1,1,3,2.0,02,,6.0,2,1,2.0,6.0,33700.0,4,4,4,0.0,0.0,,36081.6801,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,,35000_39999,2,nonfamily_not_living_alone,has_65_plus,14.0,1
donor_h0000037,08900,1070673,12,2,1,1,2.0,02,1,5.0,2,2,4.0,5.0,9008.0,4,4,4,0.0,0.0,,9644.622384,False,Owned free and clear,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,No,No children,No own children present,No related children present,,lt_10000,4_plus,nonfamily_living_alone,no_65_plus,12.0,2
donor_h0000038,08900,1070673,16,3,1,1,3.0,02,1,10.0,1,3,2.0,3.0,71600.0,2,2,2,1.0,1.0,1,76660.1868,False,Rented,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,1 worker,75000_99999,2,other_female_householder,no_65_plus,16.0,3
donor_h0000039,08900,1070673,20,3,1,1,3.0,02,1,5.0,1,3,1.0,1.0,12400.0,2,2,2,1.0,1.0,0,13276.3452,False,Rented,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,No workers,10000_14999,1,married_couple,no_65_plus,20.0,3
donor_h0000040,08900,1070673,52,1,1,3,3.0,02,,6.0,2,2,2.0,4.0,46000.0,4,4,4,0.0,0.0,,49250.958,False,Owned free and clear,One-family house detached,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,,45000_49999,2,nonfamily_living_alone,has_65_plus,52.0,1
donor_h0000041,08900,1070673,7,2,1,1,2.0,02,1,7.0,2,1,1.0,1.0,67000.0,4,4,4,0.0,0.0,2,71735.091,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,No,No children,No own children present,No related children present,2 workers,60000_74999,1,married_couple,no_65_plus,7.0,2
donor_h0000042,08900,1070673,57,2,1,1,2.0,05,2,3.0,1,3,0.0,2.0,20000.0,2,2,2,1.0,1.0,0,21413.46,False,Rented,3-4 Apartments,"Yes, by paying a cell phone company or Internet service provider",No,Yes,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,No workers,20000_24999,0,other_male_householder,no_65_plus,57.0,2
donor_h0000043,08900,1070673,14,4,1,1,3.0,02,1,5.0,2,3,3.0,1.0,150000.0,2,2,2,1.0,1.0,2,160600.95,False,Rented,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,No,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,2 workers,150000_199999,3,married_couple,no_65_plus,14.0,4
donor_h0000044,08900,1070673,38,3,1,3,3.0,02,,6.0,2,1,1.0,3.0,69900.0,4,4,4,0.0,0.0,1,74840.0427,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,1 worker,60000_74999,1,other_female_householder,has_65_plus,38.0,3
donor_h0000045,08900,1070673,54,4,1,1,2.0,09,2,4.0,1,3,1.0,1.0,70000.0,3,3,3,2.0,2.0,1,74947.11,False,Rented,50 or more apartments,"Yes, by paying a cell phone company or Internet service provider",No,Yes,With children under 6 years and 6 to 17 years,Presence of own children under 6 years and 6 to 17 years,Presence of related children under 6 years and 6 to 17 years,1 worker,60000_74999,1,married_couple,no_65_plus,54.0,4
donor_h0000046,08900,1070673,60,2,1,1,3.0,02,1,6.0,2,2,4.0,1.0,60600.0,4,4,4,0.0,0.0,0,64882.7838,False,Owned free and clear,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,No,No children,No own children present,No related children present,No workers,60000_74999,4_plus,married_couple,no_65_plus,60.0,2
donor_h0000047,08900,1070673,11,1,1,2,2.0,02,,4.0,1,3,1.0,6.0,3000.0,4,4,4,0.0,0.0,,3212.019,False,Rented,One-family house detached,"Yes, without paying a cell phone company or Internet service provider",,Yes,No children,No own children present,No related children present,,lt_10000,1,nonfamily_not_living_alone,no_65_plus,11.0,1
donor_h0000048,08900,1070673,14,4,1,1,3.0,02,1,4.0,1,1,4.0,1.0,75000.0,2,2,2,2.0,2.0,2,80300.475,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,2 workers,75000_99999,4_plus,married_couple,no_65_plus,14.0,4
donor_h0000049,08900,1070673,18,2,1,1,3.0,02,1,5.0,1,1,4.0,1.0,79800.0,4,4,4,0.0,0.0,2,85439.7054,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,2 workers,75000_99999,4_plus,married_couple,has_65_plus,18.0,2
donor_h0000050,08900,1070673,48,3,1,1,3.0,02,1,6.0,1,3,2.0,3.0,30000.0,2,4,2,0.0,1.0,1,32120.19,False,Rented,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children 6 to 17 years only,No own children present,Presence of related children 6 to 17 years only,1 worker,30000_34999,2,other_female_householder,no_65_plus,48.0,3
donor_h0000051,08900,1070673,21,1,1,1,3.0,02,1,6.0,1,1,1.0,6.0,77000.0,4,4,4,0.0,0.0,,82441.821,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,,75000_99999,1,nonfamily_not_living_alone,has_65_plus,21.0,1
donor_h0000052,08900,1070673,13,2,1,1,3.0,02,1,7.0,1,2,2.0,1.0,88800.0,4,4,4,0.0,0.0,0,95075.7624,False,Owned free and clear,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,No workers,75000_99999,2,married_couple,has_65_plus,13.0,2
donor_h0000053,08900,1070673,13,2,1,1,3.0,02,1,7.0,1,1,3.0,1.0,126200.0,4,4,4,0.0,0.0,0,135118.9326,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,No workers,125000_149999,3,married_couple,has_65_plus,13.0,2
donor_h0000054,08900,1070673,12,1,1,3,2.0,01,,3.0,2,2,1.0,6.0,15500.0,4,4,4,0.0,0.0,,16595.4315,False,Owned free and clear,Mobile home or trailer,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,,15000_19999,1,nonfamily_not_living_alone,has_65_plus,12.0,1
donor_h0000055,08900,1070673,6,2,1,3,0.0,01,,1.0,2,2,3.0,2.0,2500.0,2,4,2,0.0,1.0,0,2676.6825,False,Owned free and clear,Mobile home or trailer,"No access to the Internet at this house, apartment, or mobile home",,No,With children 6 to 17 years only,No own children present,Presence of related children 6 to 17 years only,No workers,lt_10000,3,other_male_householder,has_65_plus,6.0,2
donor_h0000056,08900,1070673,28,2,1,1,2.0,01,1,5.0,1,3,1.0,3.0,810.0,2,2,2,1.0,1.0,1,867.24513,False,Rented,Mobile home or trailer,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,1 worker,lt_10000,1,other_female_householder,no_65_plus,28.0,2
donor_h0000057,08900,1070673,7,2,1,1,2.0,07,1,3.0,1,3,2.0,1.0,164200.0,4,4,4,0.0,0.0,1,175804.5066,False,Rented,10-19 Apartments,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,1 worker,150000_199999,2,married_couple,has_65_plus,7.0,2
donor_h0000058,08900,1070673,7,1,1,3,3.0,02,,5.0,2,2,1.0,6.0,14800.0,4,4,4,0.0,0.0,,15845.9604,False,Owned free and clear,One-family house detached,"No access to the Internet at this house, apartment, or mobile home",,No,No children,No own children present,No related children present,,15000_19999,1,nonfamily_not_living_alone,has_65_plus,7.0,1
donor_h0000059,08900,1070673,13,2,1,1,2.0,02,1,4.0,1,4,1.0,2.0,455000.0,1,1,1,1.0,1.0,1,487156.215,False,Occupied without payment of rent,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children under 6 years only,Presence of own children under 6 years only,Presence of related children under 6 years only,1 worker,200000_plus,1,other_male_householder,no_65_plus,13.0,2
donor_h0000060,08900,1070673,7,2,1,1,3.0,02,1,6.0,2,2,2.0,1.0,40010.0,4,4,4,0.0,0.0,0,42837.62673,False,Owned free and clear,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,No,No children,No own children present,No related children present,No workers,40000_44999,2,married_couple,has_65_plus,7.0,2
donor_h0000061,08900,1070673,12,2,1,1,4.0,02,2,7.0,2,1,2.0,1.0,148400.0,4,4,4,0.0,0.0,1,158887.8732,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",No,No,No children,No own children present,No related children present,1 worker,150000_199999,2,married_couple,has_65_plus,12.0,2
donor_h0000062,08900,1070673,6,2,1,1,3.0,02,2,5.0,1,1,2.0,1.0,89000.0,4,4,4,0.0,0.0,1,95289.897,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",No,Yes,No children,No own children present,No related children present,1 worker,75000_99999,2,married_couple,has_65_plus,6.0,2
donor_h0000063,08900,1070673,17,2,1,1,3.0,02,1,7.0,2,2,1.0,1.0,74450.0,4,4,4,0.0,0.0,0,79711.60485,False,Owned free and clear,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,No,No children,No own children present,No related children present,No workers,75000_99999,1,married_couple,no_65_plus,17.0,2
donor_h0000064,08900,1070673,27,1,1,1,2.0,04,1,4.0,2,3,1.0,6.0,47000.0,4,4,4,0.0,0.0,,50321.631,False,Rented,2 Apartments,"Yes, by paying a cell phone company or Internet service provider",Yes,No,No children,No own children present,No related children present,,50000_59999,1,nonfamily_not_living_alone,no_65_plus,27.0,1
donor_h0000065,08900,1070673,22,2,1,1,3.0,02,1,6.0,2,3,2.0,3.0,43600.0,4,4,4,0.0,0.0,0,46681.3428,False,Rented,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,No,No children,No own children present,No related children present,No workers,45000_49999,2,other_female_householder,no_65_plus,22.0,2
donor_h0000066,08900,1070673,11,2,1,1,3.0,01,1,6.0,2,2,4.0,1.0,65200.0,4,4,4,0.0,0.0,2,69807.8796,False,Owned free and clear,Mobile home or trailer,"Yes, by paying a cell phone company or Internet service provider",Yes,No,No children,No own children present,No related children present,2 workers,60000_74999,4_plus,married_couple,no_65_plus,11.0,2
donor_h0000067,08900,1070673,16,1,1,1,3.0,02,1,6.0,1,1,1.0,6.0,90000.0,4,4,4,0.0,0.0,,96360.57,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,,75000_99999,1,nonfamily_not_living_alone,no_65_plus,16.0,1
donor_h0000068,08900,1070673,6,1,1,1,3.0,01,2,7.0,2,1,3.0,4.0,28500.0,4,4,4,0.0,0.0,,30514.1805,False,Owned with mortgage or loan (include home equity loans),Mobile home or trailer,"Yes, by paying a cell phone company or Internet service provider",No,No,No children,No own children present,No related children present,,30000_34999,3,nonfamily_living_alone,has_65_plus,6.0,1
donor_h0000069,08900,1070673,11,2,1,1,2.0,02,1,4.0,1,3,1.0,3.0,15000.0,1,1,1,1.0,1.0,1,16060.095,False,Rented,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children under 6 years only,Presence of own children under 6 years only,Presence of related children under 6 years only,1 worker,15000_19999,1,other_female_householder,no_65_plus,11.0,2
donor_h0000070,08900,1070673,3,1,1,1,2.0,02,1,6.0,1,3,2.0,6.0,0.0,4,4,4,0.0,0.0,,0.0,False,Rented,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,,lt_10000,2,nonfamily_not_living_alone,no_65_plus,3.0,1
donor_h0000071,08900,1070673,19,5,1,1,3.0,02,1,8.0,1,3,3.0,1.0,152000.0,2,2,2,2.0,2.0,2,162742.296,False,Rented,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,With children 6 to 17 years only,Presence of own children 6 to 17 years only,Presence of related children 6 to 17 years only,2 workers,150000_199999,3,married_couple,has_65_plus,19.0,5
donor_h0000072,08900,1070673,7,3,1,1,4.0,02,2,8.0,1,2,5.0,1.0,246800.0,4,4,4,0.0,0.0,1,264242.0964,False,Owned free and clear,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",No,Yes,No children,No own children present,No related children present,1 worker,200000_plus,4_plus,married_couple,has_65_plus,7.0,3
donor_h0000073,08900,1070673,7,2,1,1,4.0,02,2,8.0,2,1,2.0,1.0,42400.0,4,4,4,0.0,0.0,0,45396.5352,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",No,No,No children,No own children present,No related children present,No workers,45000_49999,2,married_couple,has_65_plus,7.0,2
donor_h0000074,08900,1070673,36,1,1,3,2.0,02,,5.0,1,2,1.0,4.0,20000.0,4,4,4,0.0,0.0,,21413.46,False,Owned free and clear,One-family house detached,"No access to the Internet at this house, apartment, or mobile home",,Yes,No children,No own children present,No related children present,,20000_24999,1,nonfamily_living_alone,no_65_plus,36.0,1
donor_h0000075,08900,1070673,2,1,1,1,3.0,02,2,5.0,2,2,2.0,4.0,50000.0,4,4,4,0.0,0.0,,53533.65,False,Owned free and clear,One-family house detached,"Yes, by paying a cell phone company or Internet service provider",No,No,No children,No own children present,No related children present,,50000_59999,2,nonfamily_living_alone,has_65_plus,2.0,1
donor_h0000076,08900,1070673,4,2,1,1,3.0,03,1,5.0,1,3,3.0,5.0,33000.0,4,4,4,0.0,0.0,,35332.209,False,Rented,One-family house attached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,,35000_39999,3,nonfamily_living_alone,no_65_plus,4.0,2
donor_h0000077,08900,1070673,12,2,1,1,3.0,02,1,5.0,1,1,5.0,2.0,105000.0,4,4,4,0.0,0.0,2,112420.665,False,Owned with mortgage or loan (include home equity loans),One-family house detached,"Yes, by paying a cell phone company or Internet service provider",Yes,Yes,No children,No own children present,No related children present,2 workers,100000_124999,4_plus,other_male_householder,no_65_plus,12.0,2
